,agr,mmi,cre,taf,tco,etc
2010-03-31,44780.1,221700.5,170958.8,106552.6,33270.7,93487.0
2010-06-30,43374.2,223184.6,167539.2,108148.5,33251.6,94825.7
2010-09-30,42170.1,227499.6,167253.7,109430.29999999999,33387.1,93857.0
2010-12-31,41225.6,223699.1,163395.4,109396.29999999999,33567.1,95817.7
2011-03-31,40925.5,234669.4,162496.9,112472.1,34726.9,98757.29999999999
2011-06-30,40369.5,241767.30000000002,157912.1,114538.6,35151.4,100035.4
2011-09-30,39057.3,249015.40000000002,161564.9,116249.70000000001,36697.0,101312.5
2011-12-31,38228.4,249474.5,156694.5,117938.8,37274.2,103860.1
2012-03-31,37850.2,259615.1,154495.1,119356.6,39949.3,101793.29999999999
2012-06-30,37860.7,264294.1,156183.7,121237.90000000001,40618.0,103565.6
2012-09-30,37468.3,272003.5,157944.2,123271.5,40842.2,103905.7
2012-12-31,37094.8,267363.80000000005,152274.40000000002,123940.20000000001,39665.9,105207.3
2013-03-31,36905.2,276107.2,153732.8,125773.40000000001,39675.6,104051.59999999999
2013-06-30,37048.8,281065.0,155893.6,128059.0,40296.600000000006,106034.09999999999
2013-09-30,37316.5,288352.6,160955.9,130009.5,40376.600000000006,106186.09999999999
2013-12-31,36626.0,284564.0,160546.0,129930.70000000001,39981.4,111402.70000000001
2014-03-31,36712.0,293060.7,163592.2,132755.2,41116.1,113434.0
2014-06-30,37181.0,298914.89999999997,167560.3,135539.5,42762.7,115380.70000000001
2014-09-30,37130.4,302402.10000000003,173021.7,137370.9,42115.0,117394.1
2014-12-31,36948.8,306292.30000000005,173850.0,138646.4,41771.2,120958.70000000001
2015-03-31,36953.3,314002.2,180195.4,141563.8,42118.0,121026.70000000001
2015-06-30,37313.9,316436.60000000003,186616.5,143693.5,41881.399999999994,122426.0
2015-09-30,37787.4,322996.60000000003,193503.8,146551.0,40774.0,125735.69999999998
2015-12-31,38152.8,322234.89999999997,196689.1,148558.1,40802.3,130979.20000000001
2016-03-31,37668.9,326643.0,202375.0,151393.9,41117.7,132499.4
2016-06-30,38367.5,327410.5,208292.0,154666.8,40833.0,134394.5
2016-09-30,38996.7,330506.89999999997,214160.40000000002,156998.3,41186.5,136402.6
2016-12-31,35747.9,321491.0,218811.09999999998,158852.3,41250.0,138682.0
2017-03-31,35967.0,327076.3,226001.19999999998,161579.8,42134.6,140753.2
2017-06-30,36610.2,328024.60000000003,233718.5,164366.6,42348.1,143524.19999999998
2017-09-30,37720.2,331668.0,245388.3,167935.8,43207.6,140921.8
2017-12-31,37676.7,333170.39999999997,253269.0,169737.3,43710.8,142589.2
2018-03-31,38011.4,337027.39999999997,263203.1,173150.09999999998,44253.1,144156.3
2018-06-30,38930.3,337077.0,272796.1,178242.9,45725.6,143528.5
2018-09-30,39356.6,341316.5,285532.7,182934.6,46315.4,144346.5
2018-12-31,40098.2,338540.10000000003,294415.6,185374.59999999998,46258.4,146879.90000000002
2019-03-31,40730.0,344423.69999999995,303842.1,189317.7,46830.5,147777.0
2019-06-30,42130.8,347505.1,315485.1,194850.8,47598.2,147296.3
2019-09-30,43182.9,348430.8,328161.6,198705.59999999998,48085.600000000006,147135.7
2019-12-31,43988.4,347776.39999999997,338335.2,203398.4,48595.5,149974.69999999998
2020-03-31,44728.1,361516.6,350563.2,213190.1,52612.7,154222.1
2020-06-30,46004.1,377674.0,369895.4,228187.40000000002,56669.200000000004,162711.2
2020-09-30,46774.4,383037.1,382634.7,234515.69999999998,58737.8,168280.5
2020-12-31,47303.6,380024.3,392229.9,239778.90000000002,60413.600000000006,174354.5
2021-03-31,47924.8,386530.8,404727.0,248392.90000000002,62520.5,179106.59999999998
2021-06-30,49049.3,390382.60000000003,421988.30000000005,257539.90000000002,64727.399999999994,184701.3
2021-09-30,49893.6,396681.5,442214.9,267328.4,67091.70000000001,190775.09999999998
2021-12-31,51413.9,397842.9,460118.5,275828.0,68481.0,200333.7
2022-03-31,54027.8,409698.2,481228.3,287693.7,72718.9,204260.3
2022-06-30,56886.7,419314.2,504644.8,298422.2,76370.9,212669.8
2022-09-30,59936.0,428585.19999999995,522180.5,307526.2,79276.8,217735.5
2022-12-31,61974.4,432283.8,534328.1,311524.1,81881.4,222933.8
2023-03-31,63377.5,443455.3,540394.9,316259.0,82981.79999999999,224106.7
2023-06-30,66290.4,448979.3,548311.9,319667.80000000005,85580.79999999999,227377.0
2023-09-30,68475.3,459123.4,558340.7,323587.3,86941.7,231308.99999999997
2023-12-31,70075.8,458866.9,563118.0,325402.4,87055.29999999999,235469.0
