통계표,계정항목,단위,변환,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","산업별대출금","십억원 ","원자료","617,472.2","644,319.8","674,611.2","686,355.4","700,410.6","706,446.2","718,889.9","711,590.3","718,505.3","719,066.8","725,242.1","721,430.7","743,329.8","750,042.9","766,619.6","769,289.6","775,745.6","785,511.0","797,283.1","789,517.1","800,400.2","812,623.5","825,705.6","827,806.9","844,414.1","860,913.2","872,426.9","882,863.5","899,492.7","911,773.0","931,820.6","943,349.3","959,040.5","970,687.0","986,408.2","985,510.4","1,001,700.4","1,015,992.1","1,036,574.5","1,051,546.7","1,069,841.9","1,082,724.6","1,106,974.9","1,121,295.9","1,140,886.6","1,163,120.9","1,183,654.6","1,207,791.3","1,259,158.3","1,328,229.8","1,365,993.8","1,393,643.9","1,435,788.8","1,478,490.5","1,530,690.2","1,580,745.3","1,644,675.4","1,713,117.2","1,769,683.0","1,797,695.6","1,818,556.9","1,843,404.4","1,875,715.2","1,889,570.9"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","  농업, 임업 및 어업","십억원 ","원자료","46,004.7","49,015.4","49,750.4","49,410.6","49,190.6","46,630.4","46,792.8","45,745.8","44,780.1","43,374.2","42,170.1","41,225.6","40,925.5","40,369.5","39,057.3","38,228.4","37,850.2","37,860.7","37,468.3","37,094.8","36,905.2","37,048.8","37,316.5","36,626.0","36,712.0","37,181.0","37,130.4","36,948.8","36,953.3","37,313.9","37,787.4","38,152.8","37,668.9","38,367.5","38,996.7","35,747.9","35,967.0","36,610.2","37,720.2","37,676.7","38,011.4","38,930.3","39,356.6","40,098.2","40,730.0","42,130.8","43,182.9","43,988.4","44,728.1","46,004.1","46,774.4","47,303.6","47,924.8","49,049.3","49,893.6","51,413.9","54,027.8","56,886.7","59,936.0","61,974.4","63,377.5","66,290.4","68,475.3","70,075.8"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","  광업","십억원 ","원자료","1,168.6","1,188.5","1,130.2","1,243.0","1,224.1","1,238.5","1,357.1","1,360.0","1,275.8","1,335.6","1,695.5","1,409.9","1,386.8","1,286.1","1,372.7","1,437.2","1,640.9","1,636.3","1,670.3","1,581.9","1,504.5","1,654.3","1,579.3","1,597.1","1,685.9","1,638.8","1,422.9","1,510.4","1,591.0","1,384.9","1,406.9","1,598.6","1,265.8","1,124.1","1,120.1","1,563.6","1,109.3","1,154.7","1,245.8","1,116.3","1,042.8","1,087.5","1,159.8","1,097.9","1,170.6","1,185.1","1,141.0","1,318.8","1,152.0","1,244.2","1,271.6","1,356.5","1,604.1","1,525.2","1,572.3","1,554.5","1,525.2","1,723.9","1,654.1","1,574.0","1,748.7","1,641.2","1,437.2","1,754.0"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","  제조업","십억원 ","원자료","171,568.5","180,639.2","194,635.5","200,653.0","207,415.7","211,484.8","215,759.0","212,892.4","220,424.7","221,849.0","225,804.1","222,289.2","233,282.6","240,481.2","247,642.7","248,037.3","257,974.2","262,657.8","270,333.2","265,781.9","274,602.7","279,410.7","286,773.3","282,966.9","291,374.8","297,276.1","300,979.2","304,781.9","312,411.2","315,051.7","321,589.7","320,636.3","325,377.2","326,286.4","329,386.8","319,927.4","325,967.0","326,869.9","330,422.2","332,054.1","335,984.6","335,989.5","340,156.7","337,442.2","343,253.1","346,320.0","347,289.8","346,457.6","360,364.6","376,429.8","381,765.5","378,667.8","384,926.7","388,857.4","395,109.2","396,288.4","408,173.0","417,590.3","426,931.1","430,709.8","441,706.6","447,338.1","457,686.2","457,112.9"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","    식료품 및 음료","십억원 ","원자료","10,733.5","10,962.3","11,521.1","12,076.2","11,920.9","11,911.2","11,724.8","12,083.0","12,477.4","12,628.8","12,847.8","13,236.6","13,700.2","14,156.2","13,739.1","14,781.2","14,743.7","14,955.1","15,510.5","15,371.1","15,801.5","16,282.9","16,498.4","16,867.7","17,196.7","17,021.0","17,142.5","17,537.0","17,923.5","18,012.2","18,307.1","18,835.0","19,143.9","19,413.5","19,620.4","20,245.1","20,494.0","20,826.7","21,379.0","22,240.3","22,494.3","22,647.9","23,170.6","23,889.3","24,707.5","25,098.2","25,537.0","26,055.3","26,985.6","27,746.7","28,318.3","28,910.7","29,834.5","29,798.4","30,590.5","31,670.9","32,404.6","33,493.2","34,012.8","35,391.1","35,733.0","35,551.4","36,109.7","36,848.7"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","    담배","십억원 ","원자료","43.7","39.5","47.6","37.7","32.0","23.0","24.0","23.5","24.2","23.3","22.7","21.7","21.8","71.2","40.7","4.6","4.2","4.1","4.2","4.0","16.0","30.1","28.3","14.6","25.6","46.5","29.7","22.5","4.4","4.3","4.9","29.6","4.0","12.6","53.8","174.4","269.8","243.4","47.0","168.3","156.7","247.3","218.4","601.8","234.6","218.6","157.0","171.7","297.9","214.3","152.8","46.3","125.0","3.5","66.6","67.5","87.2","107.8","28.3","26.0","83.3","47.7","33.7","3.3"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","    섬유제품","십억원 ","원자료","6,848.7","6,985.6","6,944.0","6,922.5","6,916.8","6,889.5","7,028.2","6,841.8","6,897.6","6,937.2","6,997.4","6,889.0","7,169.4","7,250.4","7,544.1","7,535.1","7,791.0","7,823.1","8,051.4","8,087.1","8,240.2","8,356.2","8,519.5","8,668.8","9,074.5","9,278.6","9,590.3","9,597.0","9,859.2","9,917.7","10,099.9","10,148.1","10,235.7","10,343.8","10,474.8","10,359.2","10,625.3","10,644.3","10,586.8","10,550.5","10,660.6","10,561.3","10,667.5","10,739.4","10,842.7","10,636.3","10,689.9","10,704.6","10,985.8","11,463.2","11,654.8","11,677.4","11,836.7","12,043.3","12,230.8","12,333.5","12,569.0","12,812.3","12,823.1","12,653.5","12,640.1","12,532.9","12,563.6","12,494.7"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","    의복, 의복액세서리 및 모피제품","십억원 ","원자료","5,078.1","4,995.2","5,397.7","5,211.3","5,295.0","5,327.2","5,408.4","5,220.2","5,368.3","5,484.2","5,857.9","5,552.4","5,766.0","5,939.7","6,361.9","6,072.6","6,234.8","6,344.1","6,732.9","6,344.9","6,730.0","7,140.4","7,574.1","7,595.0","7,762.7","7,640.3","8,202.0","7,575.2","7,708.8","7,663.8","8,218.0","7,598.4","7,789.1","7,657.5","7,935.0","7,452.9","7,565.2","7,578.4","7,700.0","7,434.1","7,393.1","7,085.9","7,404.8","7,112.5","7,224.9","7,278.5","7,387.4","7,293.1","7,679.6","8,116.0","8,264.9","8,092.9","8,348.8","8,363.2","8,948.8","9,005.7","9,378.4","9,527.3","9,550.1","9,460.8","9,759.9","9,997.6","10,142.6","9,856.3"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","    가죽, 가방 및 신발","십억원 ","원자료","1,594.9","1,554.6","1,673.4","1,647.0","1,662.5","1,644.4","1,583.1","1,534.3","1,531.8","1,514.6","1,582.3","1,508.6","1,548.3","1,572.5","1,675.1","1,623.1","1,641.6","1,739.2","1,841.1","1,801.9","1,853.4","1,915.6","1,980.8","1,968.2","2,023.3","2,074.7","2,121.4","1,984.5","2,069.5","2,001.6","2,011.5","2,024.7","2,065.4","2,037.1","2,089.4","2,043.9","2,158.5","2,108.4","2,060.7","2,052.6","2,043.7","2,121.1","2,124.8","2,121.7","2,114.3","2,143.7","2,160.9","2,147.9","2,245.3","2,335.3","2,396.3","2,391.5","2,411.1","2,397.6","2,391.1","2,584.6","2,585.3","2,510.0","2,485.6","2,452.5","2,563.0","2,687.6","2,673.0","2,728.8"
"1.2.5.1.1. 산업별대출금(예금취급기관, 전산업)","    목재 및 나무제품","십억원 ","원자료","1,975.1","2,043.9","2,135.4","2,300.4","2,334.6","2,324.4","2,335.7","2,319.5","2,308.6","2,313.6","2,307.3","2,289.0","2,306.7","2,282.8","2,302.6","2,338.2","2,399.7","2,417.2","2,486.2","2,360.6","2,431.6","2,486.7","2,521.8","2,520.3","2,654.7","2,747.3","2,789.4","2,825.0","3,000.6","3,104.3","3,112.1","3,147.3","3,210.3","3,302.8","3,298.0","3,310.2","3,389.0","3,448.6","3,541.1","3,531.1","3,555.8","3,524.2","3,577.7","3,605.9","3,696.4","3,759.5","3,808.9","3,776.1","3,850.8","3,927.7","4,000.4","3,986.3","4,019.7","4,089.6","4,118.4","4,177.1","4,291.8","4,419.0","4,498.4","4,563.7","4,624.8","4,710.8","4,744.3","4,764.8"
